distrito,faces_total,faces_com_calcada,pct_sem_calcada,pct_com_obstaculo,pct_com_rampa
Jardim Ângela,7309,4817,34.1,82.6,3.1
Tremembé,5129,3874,24.5,87.4,3.7
Brasilândia,5442,3656,32.8,87.0,3.7
Pedreira,3990,2419,39.4,87.3,4.1
Anhanguera,2269,1744,23.1,89.1,4.2
Sacomã,5153,4306,16.4,81.2,4.3
Jaraguá,4686,3258,30.5,87.2,4.7
Raposo Tavares,2669,1897,28.9,81.5,4.9
Grajaú,10666,7151,33.0,89.4,5.1
Capão Redondo,6345,4538,28.5,83.6,5.2
Parelheiros,4783,2801,41.4,88.1,5.2
Iguatemi,4557,3114,31.7,87.9,5.3
São Rafael,4709,2994,36.4,92.6,5.4
Cachoeirinha,2961,2245,24.2,66.9,5.7
Cidade Lider,2750,2328,15.3,83.8,5.9
Mandaqui,2143,1858,13.3,84.1,6.5
Lajeado,3625,3096,14.6,85.3,6.6
Parque do Carmo,1614,1271,21.3,76.2,6.7
José Bonifácio,2291,1702,25.7,80.0,6.7
Jardim São Luís,5694,3984,30.0,88.3,7.5
São Domingos,2766,2079,24.8,82.3,7.8
Itaquera,5063,4458,11.9,89.1,8.1
Cangaiba,3520,2766,21.4,75.3,8.5
Marsilac,351,70,80.1,81.4,8.6
Itaim Paulista,4672,4180,10.5,85.1,9.2
Tucuruvi,3035,2591,14.6,69.4,9.3
Pirituba,4568,3639,20.3,73.0,9.7
São Mateus,4292,3596,16.2,70.0,9.9
Cursino,2692,2455,8.8,75.3,9.9
Campo Limpo,5200,3664,29.5,79.0,10.3
Cidade Dutra,5648,4437,21.4,76.0,10.4
Cidade Ademar,5724,4296,24.9,85.5,10.7
Limão,2109,1862,11.7,70.0,10.7
Aricanduva,2690,2451,8.9,64.4,10.8
Morumbi,1827,1703,6.8,70.9,11.3
Rio Pequeno,3372,2707,19.7,83.6,11.3
Vila Curuçá,3667,3204,12.6,79.3,11.5
Vila Matilde,2831,2620,7.5,81.9,11.7
Sapopemba,5795,4751,18.0,83.1,11.9
Freguesia do Ó,3502,3142,10.3,74.8,12.0
Perus,2343,2016,14.0,90.9,12.7
Vila Formosa,2528,2182,13.7,58.5,12.9
São Lucas,3628,3425,5.6,82.6,12.9
Vila Andrade,2728,1502,44.9,70.2,13.2
Cidade Tiradentes,4314,3112,27.9,83.4,13.3
Jardim Helena,3295,2856,13.3,62.9,13.8
Vila Jacuí,3559,3084,13.3,87.0,13.9
Guaianases,2419,1820,24.8,88.6,14.0
Jaçanã,2857,2236,21.7,81.3,14.6
Vila Medeiros,3990,2800,29.8,72.0,14.8
Vila Maria,3052,2480,18.7,63.4,15.1
Água Rasa,2562,2441,4.7,58.7,16.4
Jaguara,1004,789,21.4,69.5,16.7
Artur Alvim,2216,1923,13.2,67.6,17.4
Ponte Rasa,2836,2575,9.2,90.6,17.7
Vila Guilherme,1632,1544,5.4,52.8,17.9
Vila Sônia,2895,2280,21.2,71.6,18.0
Penha,3669,3106,15.3,75.6,18.1
Jabaquara,5234,4421,15.5,70.3,18.5
São Miguel,3297,2994,9.2,82.1,18.7
Santana,2800,2550,8.9,60.9,18.8
Socorro,2060,1924,6.6,79.5,19.4
Casa Verde,1910,1805,5.5,74.1,19.7
Jaguaré,1344,956,28.9,79.9,20.5
Campo Grande,2795,2576,7.8,57.6,22.4
Carrão,2703,2509,7.2,69.7,26.2
Vila Prudente,2702,2549,5.7,71.4,27.1
Ermelino Matarazzo,2811,2151,23.5,74.9,28.0
Butantã,1999,1882,5.9,67.0,30.6
Ipiranga,3030,2733,9.8,59.8,31.1
Saúde,3005,2882,4.1,56.3,32.5
Campo Belo,2499,2396,4.1,67.3,35.5
Perdizes,2055,1929,6.1,62.2,37.6
Alto de Pinheiros,1551,1492,3.8,66.0,41.4
Liberdade,897,855,4.7,32.3,43.7
Vila Leopoldina,977,923,5.5,67.6,45.1
Santo Amaro,3261,3173,2.7,62.2,45.1
Cambuci,826,805,2.5,36.1,47.3
Barra Funda,686,641,6.6,31.8,48.8
Vila Mariana,2661,2485,6.6,48.7,49.3
Belém,1199,1122,6.4,29.4,52.0
Mooca,1594,1521,4.6,17.8,54.2
Pari,637,591,7.2,27.1,55.0
Tatuapé,2400,2222,7.4,40.4,55.8
Itaim Bibi,3050,3008,1.4,41.1,60.0
Lapa,2027,1903,6.1,44.8,60.3
Bom Retiro,820,756,7.8,27.8,62.0
Consolação,939,875,6.8,32.8,62.4
Moema,2221,2193,1.3,35.8,63.3
Pinheiros,2123,2049,3.5,48.0,64.5
Bela Vista,765,742,3.0,24.1,66.2
Jardim Paulista,1603,1561,2.6,25.9,70.0
Brás,890,819,8.0,30.0,74.0
Santa Cecília,1076,1049,2.5,23.6,77.1
Sé,690,672,2.6,24.1,80.2
República,926,917,1.0,27.2,80.8
